lat,lon,iso,gadm2,date,the_geom,cartodb_id,created_at,updated_at,the_geom_webmercator
18.75208333,110.01695481,CHN,35849,2012-02-02,0101000020E61000006F9DA0C915815B407F377A8888C03240,1161108,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000EB1D6BECFE5B6741F04415B0E4374041
18.76458333,109.90189078,CHN,35849,2012-02-02,0101000020E61000007E2A1B94B8795B40B26AADBBBBC33240,1161109,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000038669AD0BD556741FEABA476C33A4041
18.76458333,109.91069191,CHN,35849,2012-02-02,0101000020E6100000A28BB8C6487A5B40B26AADBBBBC33240,1161110,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00005D71324838566741FEABA476C33A4041
18.78958333,109.91819538,CHN,35849,2012-02-02,0101000020E61000000D1C8EB6C37A5B4018D1132222CA3240,1161111,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00000B5A3CB1A0566741142F9A2D81404041
18.81458333,110.07098375,CHN,35849,2012-02-02,0101000020E610000009336DFF8A845B407F377A8888D03240,1161112,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000067DA96BBEE5E67415A746B1C3F464041
18.81875000,110.07811334,CHN,35849,2012-02-02,0101000020E61000009B2B18CFFF845B409A99999999D13240,1161113,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000A8A5C8F0515F6741E4040B1F34474041
18.86875000,110.08448228,CHN,35209,2012-02-02,0101000020E6100000426C5D2868855B406666666666DE3240,1161114,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000063715F90AA5F6741CD8149B7B0524041
18.89375000,109.83227061,CHN,35849,2012-02-02,0101000020E6100000CED7F2EB43755B40CDCCCCCCCCE43240,1161115,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000060B1FB0DF5516741637892576F584041
18.89791667,109.77775188,CHN,35849,2012-02-02,0101000020E61000002940D2AFC6715B40E82EECDDDDE53240,1161116,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000C21E126EFE4E674135F4CC7764594041
18.90625000,109.84487911,CHN,35849,2012-02-02,0101000020E610000082A1D47F12765B400000000000E83240,1161117,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00002FE04780A4526741F448CBBC4E5B4041
18.90625000,110.17079563,CHN,35209,2012-02-02,0101000020E61000009549CB50EE8A5B400000000000E83240,1161118,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000B793D59B5B646741F448CBBC4E5B4041
18.91458333,110.18068966,CHN,35209,2012-02-02,0101000020E6100000391B5D6B908B5B4018D1132222EA3240,1161119,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000421E9548E5646741C4340A08395D4041
18.91458333,110.18509415,CHN,35209,2012-02-02,0101000020E6100000943B2295D88B5B4018D1132222EA3240,1161120,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00005C765C9222656741C4340A08395D4041
18.91875000,110.00725135,CHN,35849,2012-02-02,0101000020E610000085C65DCE76805B403333333333EB3240,1161121,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000B8EF85E6775B67412A6E15302E5E4041
18.91875000,110.17462640,CHN,35209,2012-02-02,0101000020E61000002A4135142D8B5B403333333333EB3240,1161122,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000075DCE4E9906467412A6E15302E5E4041
18.91875000,110.20986325,CHN,35209,2012-02-02,0101000020E610000077D844666E8D5B403333333333EB3240,1161123,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00006CB56F3B7B6667412A6E15302E5E4041
18.92291667,110.19939643,CHN,35209,2012-02-02,0101000020E610000081723EE9C28C5B404E95524444EC3240,1161124,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000A7334896E9656741281EB159235F4041
18.93541667,109.96976928,CHN,35849,2012-02-02,0101000020E6100000FD902BB3107E5B4081C8857777EF3240,1161125,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000A94101576E596741E271C1DF02624041
18.93958333,109.86238433,CHN,35849,2012-02-02,0101000020E6100000B47B0B4E31775B407F377A8888F03240,1161126,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000BD58CA15985367410078790FF8624041
18.94375000,109.56997343,CHN,35849,2012-02-02,0101000020E6100000185CD6717A645B409A99999999F13240,1161127,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00006F2FC034B3436741720BE940ED634041
18.96041667,109.89812962,CHN,35849,2012-02-02,0101000020E6100000035EA8F47A795B40E82EECDDDDF53240,1161128,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000F082827A8955674162C22C16C2674041
18.96041667,110.00386656,CHN,35849,2012-02-02,0101000020E6100000E02F87593F805B40E82EECDDDDF53240,1161129,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00000EDE24CD485B674162C22C16C2674041
18.96458333,109.94933965,CHN,35849,2012-02-02,0101000020E6100000F36217FBC17C5B40E59DE0EEEEF63240,1161130,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000099B617105258674164474C4FB7684041
18.96875000,109.74941504,CHN,35849,2012-02-02,0101000020E61000008EFB7F6AF66F5B400000000000F83240,1161131,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00005758E81F744D67418BFC238AAC694041
18.96875000,109.92565208,CHN,35849,2012-02-02,0101000020E6100000C3C438E23D7B5B400000000000F83240,1161132,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00002954AB73085767418BFC238AAC694041
18.96875000,110.18560172,CHN,35209,2012-02-02,0101000020E6100000CE5E09E6E08B5B400000000000F83240,1161133,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000B66670A2296567418BFC238AAC694041
18.96875000,110.21644320,CHN,35209,2012-02-02,0101000020E6100000435C9434DA8D5B400000000000F83240,1161134,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000011B3B0CAD66667418BFC238AAC694041
18.96875000,110.22525505,CHN,35209,2012-02-02,0101000020E6100000914028946A8E5B400000000000F83240,1161135,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000F39F7868516767418BFC238AAC694041
18.96875000,110.30015579,CHN,35209,2012-02-02,0101000020E61000005370A1C035935B400000000000F83240,1161136,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F000042ABA9A5636B67418BFC238AAC694041
18.97291667,109.76537678,CHN,35849,2012-02-02,0101000020E6100000F0CDE3EEFB705B401B621F1111F93240,1161137,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000833A323B524E6741DF6A8DC6A16A4041
18.97291667,109.77859489,CHN,35849,2012-02-02,0101000020E61000007E58A97FD4715B401B621F1111F93240,1161138,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000E29C0F290A4F6741DF6A8DC6A16A4041
18.97291667,109.80503111,CHN,35849,2012-02-02,0101000020E61000009B6D34A185735B401B621F1111F93240,1161139,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000A661CA047A506741DF6A8DC6A16A4041
18.97291667,110.18835626,CHN,35209,2012-02-02,0101000020E61000009A2C6A070E8C5B401B621F1111F93240,1161140,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000750CBAF64F656741DF6A8DC6A16A4041
18.97708333,109.33191298,CHN,35848,2012-02-02,0101000020E6100000F28DF00F3E555B4018D1132222FA3240,1161141,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000A8232C9CC2366741641A6204976B4041
18.97708333,109.93114889,CHN,35849,2012-02-02,0101000020E61000006E9083F1977B5B4018D1132222FA3240,1161142,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000664089F054576741641A6204976B4041
18.97708333,110.14264391,CHN,35209,2012-02-02,0101000020E61000001C1BEC1321895B4018D1132222FA3240,1161143,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000EE251CE1D3626741641A6204976B4041
18.97708333,110.14705006,CHN,35209,2012-02-02,0101000020E6100000CAA4A74469895B4018D1132222FA3240,1161144,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000804BCD3011636741641A6204976B4041
18.98125000,109.76205436,CHN,35849,2012-02-02,0101000020E6100000597EA67FC5705B403333333333FB3240,1161145,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00002230FEFF234E67417C4BEF438C6C4041
18.98958333,110.00109017,CHN,35849,2012-02-02,0101000020E6100000D01F81DC11805B404B04475555FD3240,1161146,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000BE90052B225B67419E5299C7766E4041
18.98958333,110.22582050,CHN,35209,2012-02-02,0101000020E61000000C91D3D7738E5B404B04475555FD3240,1161147,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F00009C07BB46596767419E5299C7766E4041
18.99791667,110.22693214,CHN,35209,2012-02-02,0101000020E610000086ED610E868E5B4081C8857777FF3240,1161148,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000F414A4BE68676741A6EBB25161704041
18.99791667,110.26659242,CHN,35852,2012-02-02,0101000020E6100000BC50A7D90F915B4081C8857777FF3240,1161149,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000BF366E9D90696741A6EBB25161704041
19.00208333,109.77138425,CHN,35849,2012-02-02,0101000020E610000091990B5C5E715B407F377A8888003340,1161150,2014-02-13 20:11:02.647677+00,2014-02-13 20:11:42.890882+00,0101000020110F0000A0F325D3A54E6741ADC6F49856714041
